;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
PONEDELJEK;štručka z makom (velika, mala);koruzna štručka;eko pirina štručka;;;
25.1.2016;pašteta;sardelin namaz;namaz z olivami in feto;grška solata;;
;paprika po izbiri;paprika po izbiri;paprika po izbiri;eko pirina štručka;;
;žitna rezina;žitna rezina;žitna rezina;;;
;sok;sok;sok;voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;eko pšenični kruh (NV 3 kos, N 2 kos);eko pšenični kruh (2 kos);eko pšenični kruh (2 kos);;;
TOREK;nutella (NV 3 kos, N 2kos);nutella (2kos);nutella (2kos);smuti iz banan in pomaranč;;
26.1.2016;lešniki;lešniki;lešniki;lešniki;;
;čokoladno mleko (NV 4dcl, N 2dcl);čokoladno mleko (N 2dcl);čokoladno mleko (N 2dcl);;;
;;;;voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;;;;;;
SREDA;malica presenečenja ob tematskem dijaškem dnevu;malica presenečenja ob tematskem dijaškem dnevu;malica presenečenja ob tematskem dijaškem dnevu;malica presenečenja ob tematskem dijaškem dnevu;;
27.1.2016;;;;;;
;;;;;;
;;;;;;
;;;;;;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;sirova štručka (velika, mala);temna makova štručka;temna makova bombeta;;;
ČETRTEK;kraški zašinek;pečena pišč.prsa;mocarela;zelena solata s kumaro in jajcem;;
28.1.2016;pečena paprika po izbiri;pečena paprika po izbiri;pečena paprika po izbiri;eko kamutova štručka;;
;vaniljev puding;vaniljev puding;vaniljev puding;;;
;sok;sok;sok;voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;lepinja (velika, mala);koruzna blazinica;temna blazinica;;;
PETEK;pleskavica;riba po dunajsko;sir po dunajsko;testeninska solata;;
29.1.2016;paprika, solata  po izbiri;paprika, solata  po izbiri;paprika, solata  po izbiri;;;
;ajvar po izbiri;ajvar po izbiri;;;;
;voda (bidon);voda (bidon);voda (bidon);voda (bidon);;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
