;N KOSILO;VEGET. KOSILO ;;;;
;zelenjavna juha;zelenjavna juha;;;;
PONEDELJEK;goveji zrezek v omaki;;;;;
1.2.2016;dušeno korenje;dušeno korenje;;;;
;slani sirovi štruklji;slani sirovi štruklji;;;;
;motovilec;motovilec;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;;;;;;
TOREK;piščančji zrezek po dunajsko;pečen eko tofu;;;;
2.2.2016;riž;riž;;;;
;dušene bučke;dušene bučke;;;;
; stročji fižol; stročji fižol;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;korenčkova juha;korenčkova juha;;;;
SREDA;svinjska pečenka v omaki;sojini polpeti;;;;
3.2.2016;pražen krompir;pražen krompir;;;;
;dušeno rdeče zelje;dušeno rdeče zelje;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;špargljeva juha;špargljeva juha;;;;
ČETRTEK;goveji golaž;;;;;
4.2.2016;široki rezanci;široki rezanci s pestom;;;;
;rdeč radič;rdeč radič;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;;;;;;
PETEK;jota s suhim mesom;jota;;;;
5.2.2016;črna bombetka;črna bombetka;;;;
;marelični cmoki;marelični cmoki;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
