;N KOSILO;VEGET. KOSILO ;;;;
;kremna zelenjavna juha;kremna zelenjavna juha;;;;
PONEDELJEK;piščanec v kosih ;;;;;
25.1.2016;z zelenjavo;zelenjavna rižota;;;;
;riž;;;;;
;motovilec;motovilec;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;;;;;;
TOREK;dušeno kislo zelje ;dušeno kislo zelje ;;;;
26.1.2016;matevž;matevž;;;;
;pečenica;;;;;
;skutin zavitek;skutin zavitek;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;goveja juha;korenčkova juha;;;;
SREDA;pire;pire;;;;
27.1.2016;špinača;špinača;;;;
;telečja hrenovka;jajce na oko;;;;
;rdeča pesa;rdeča pesa;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;kokošja juha;bistra zelenjavna juha;;;;
ČETRTEK;peresniki;peresniki;;;;
28.1.2016;paradižnikova omaka;paradižnikova omaka;;;;
;parmezan;parmezan;;;;
;zelena solata;zelena solata;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;;;;;;
PETEK;telečja obara;čičerikina enolončnica;;;;
29.1.2016;črn kruh po izbiri;črn kruh po izbiri;;;;
;višnjeva pita;višnjeva pita;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
