;N KOSILO;VEGET. KOSILO ;;;;
;bistra zelenjavna juha;bistra zelenjavna juha;;;;
PONEDELJEK;goveji golaž;;;;;
29.2.2016;polenta;polenta z mlekom;;;;
;rdeča pesa;;;;;
;skutina pita;skutina pita;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;;;;;;
TOREK;segedin golaž;dušeno kislo zelje;;;;
1.3.2016;krompir v kosih;krompir v kosih;;;;
;;sojini polpeti;;;;
;vaniljev navihanček;vaniljev navihanček;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;kremna zelenjavna juha;kremna zelenjavna juha;;;;
SREDA;piščanec v kosih ;;;;;
2.3.2016;z zelenjavo;zelenjavna rižota;;;;
;riž;;;;;
;motovilec;motovilec;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;paradižnikova juha;paradižnikova juha;;;;
ČETRTEK;puranji zrezek z grahom v omaki;nadevane paprike;;;;
3.3.2016;kruhovi cmoki;pire krompir;;;;
;zelje s korenčkom v solati;zelje s korenčkom v solati;;;;
;;;;;;
;;;;;;
;;;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;;;;;;
PETEK;zelenjavna lazanja;zelenjavna lazanja;;;;
4.3.2016;parmezan;parmezan;;;;
;solata;solata;;;;
;sladoled;sladoled;;;;
;voda ali sok;voda ali sok;;;;
;;;;;;
;;;;;;
;;;;;;
