;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
PONEDELJEK;mešana štručka (velika, mala);sezamova bombeta;sezamova bombeta;pisane paprike s kumaro in feto;;
7.3.2016;kuhan pršut;mlečni namaz, dimljen sir;mlečni namaz, dimljen sir;kajzerica s semeni;;
;hren s smetano;hren s smetano;hren s smetano;;;
;trdo kuhano jajce;trdo kuhano jajce;trdo kuhano jajce;;;
;sok;sok;sok;voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;sezam.temna štručka (velika, mala);;;;;
TOREK;zašinek, sir;ajdovo pecivo 2 kos;ajdovo pecivo 2 kos;jogurtov smuti z medom iz borovnic in brusnic;;
8.3.2016;vložena paprika po izbiri;skuta;skuta;ajdovo pecivo;;
;sadni jogurt;med;med;;;
;sok;sok;sok;voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;3.4.letnik: pica s šunko(velika, mala);3.4.letnik: pica s sirom( mala);3.4.letnik: pica s sirom( mala);3.4.letnik: prosena pogača z gozdnimi sadeži;;
SREDA;češnjev paradižnik, smuti ;češnjev paradižnik, smuti ;češnjev paradižnik, smuti (Fructal);smuti (Fructal);;
9.3.2016;1.2.letnik: sendvič ;1.2.letnik: sendvič;1.2.letnik: sendvič;1.2.letnik: sendvič;;
;jabočni zavitek, žit.rezina;jabočni zavitek, žit.rezina;jabočni zavitek, žit.rezina;jabočni zavitek, žit.rezina;;
;klementine, voda;klementine, voda;klementine, voda;klementine, voda;;
;;;;;;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;sirova štručka (velika, mala);sirova štručka (mala);;;;
ČETRTEK;puranja šunka;puranja šunka;zelena solata s pečenim sirom;zelena solata s pečenim sirom;;
10.3.2016;kisle kumarice po izbiri;kisle kumarice po izbiri;rezina eko polnozrnatega kruha;rezina eko polnozrnatega kruha;;
;rezina z oreščki;rezina z oreščki;rezina z oreščki;rezina z oreščki;;
;sok;sok;sok;voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;;;;;;
PETEK;eko polbel kruh (NV 3 kos, N 2 kos);eko polbel kruh ( 2 kos);eko polbel kruh ( 2 kos);mlečni jagodni napitek;;
11.3.2016;topljen sir (NV 3kos, N 2 kos);topljen sir (N 2 kos);topljen sir (N 2 kos);;;
;ovseni piškoti;ovseni piškoti;ovseni piškoti;ovseni piškoti;;
;čokoladno mleko (NV2kos, N 1kos);čokoladno mleko (NV2kos, N 1kos);čokoladno mleko (NV2kos, N 1kos);voda (bidon);;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
