;N KOSILO;VEGET. KOSILO ;;;;
;špargljeva juha;špargljeva juha;;;;
PONEDELJEK;svinjska pečenka;pečen tofu;;;;
22.2.2016;krompirjevi štruklji s korenčkom;krompirjevi štruklji s korenčkom;;;;
;;paradižnikova omaka;;;;
;zelena solata;zelena solata;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;;;;;;
TOREK;pražen krompir;pražen krompir;;;;
23.2.2016;piščančje nabodalo;sojini polpeti;;;;
;pečena paprika in bučke;pečena paprika in bučke;;;;
;čokoladni puding;čokoladni puding;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;bučkina juha ;bučkina juha;;;;
SREDA;govejii zrezek v gobovi omaki;sirovi polpeti;;;;
24.2.2016;sirovi polpeti;gobova omaka;;;;
;;;;;;
;zelena solata;zelena solata;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;zelenjavna juha;zelenjavna juha;;;;
ČETRTEK;bolonjska omaka;gorgonzolina omaka;;;;
25.2.2016;njoki;njoki;;;;
;parmezan;parmezan;;;;
;zelje v solati;zelje v solati;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;;;;;;
PETEK;blitva s krompirjem;blitva s krompirjem;;;;
26.2.2016;pečen lososov file; sir na žaru;;;;
;kremna rezina;kremna rezina;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
