;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
PONEDELJEK;sirova štručka (velika mala);sirova štručka (mala);štrručka z makom;mešanica zelenih solat s semeni;;
29.2.2016;piščančja salama;piščančja salama;mocarela, rukola;pletenka iz tatarske ajde s pehtranom;;
;žitna rezina;žitna rezina;žitna rezina;žitna rezina;;
;sok;sok;sok;voda (bidon);;
;;;;;;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;lama (velika, mala);;;;;
TOREK;ogrska salama, sir;koruzna štručka;eko pirina štučka;mlečni napitek kokos-banana;;
1.3.2016;kisle kumarice;ribji namaz;liptaver namaz;mandeljni;;
;jogurt z medom in vanilijo;jogurt z medom in vanilijo;jogurt z medom in vanilijo;;;
;sok;sok;sok;voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;;;;;;
SREDA;mešana štručka (velika, mala);mešana štručka (mala);mešana štručka (mala);;;
2.3.2016;mlečni namaz;mlečni namaz;mlečni namaz;solata s pečenim lososom;;
;samostanski sir;samostanski sir;samostanski sir;eko pirina štručka;;
;jabolčni krhlji;jabolčni krhlji;jabolčni krhlji;jabolčni krhlji;;
;sok;sok;sok;voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;makovka (velika, mala);;;;;
ČETRTEK;šunka;;;;;
3.3.2016;list solate;skuta z malinami;skuta z malinami;skuta z malinami;;
;polnozrnat mafin;polnozrnat mafin;polnozrnat mafin;polnozrnat mafin;;
;sok;sok;sok;sok;;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;1.2.letnik: skutni burek (NV 1,5 kos);1.2.letnik: skutni burek;1.2.letnik: skutni burek;grška solata, koruzna štručka;;
PETEK;tekoči jogurt, voda (bidon);tekoči jogurt, voda (bidon);tekoči jogurt, voda (bidon);voda (bidon);;
4.3.2016;3.4.letnik: sendvič;3.4.letnik: sendvič;3.4.letnik: sendvič;3.4.letnik: sendvič;;
;jabolčni zavitek;jabolčni zavitek;jabolčni zavitek;jabolčni zavitek;;
;klementine, voda;klementine, voda;klementine, voda;klementine, voda;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
