;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
PONEDELJEK;temna štručka (velika, mala);temna štručka (mala);zelenjavni narastek;zelenjavni narastek;;
22.2.2016;piščančja hrenovka (NV par);piščančja hrenovka;;;;
;gorčica, majoneza po izbiri;gorčica, majoneza po izbiri;;;;
;smuti;smuti;smuti;smuti;;
;;;;;;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;temna sezam. štručka (velika, mala);polnozrnata bombeta;polnozrnata bombeta;;;
TOREK;mortadela;sir, mlečni namaz;sir, mlečni namaz;sadje;;
23.2.2016;kisle kumarice po izbiri;kisle kumarice po izbiri;kisle kumarice po izbiri;;;
; čok.navihanček; čok.navihanček; čok.navihanček;polnozrnata borovničeva palčka;;
;sok;sok;sok;voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;domač hrustljav musli (NV večja porcija);domač hrustljav musli;domač hrustljav musli;;;
SREDA;mleko 4 dcl;mleko 2 dcl;mleko 2 dcl;sadni smuti;;
24.2.2016;polnozrnat rogljiček;polnozrnat rogljiček;polnozrnat rogljiček;polnozrnat rogljiček;;
;;;;;;
;;;;;;
;;;;;;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;copata (velika, mala);polnozrnata štručka;polnozrnata štručka;;;
ČETRTEK;kraški pršut, sir;tolminski sir;tolminski sir;solata s pečenim piščancem;;
25.2.2016;češnjev paradižnik po izbiri;češnjev paradižnik po izbiri;češnjev paradižnik po izbiri;eko pirina štručka;;
;grški jogurt;grški jogurt;grški jogurt;;;
;sok;sok;sok;voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;eko pšenični kruh (NV 3 kos, N 2 kos);eko pšenični kruh (2 kos);eko pšenični kruh (2 kos);;;
PETEK;nutella (NV 3 kos, N 2kos);nutella (2kos);nutella (2kos);solata s stročjim fižolom;;
26.2.2016;lešniki;lešniki;lešniki;eko pšenični kruh (1 kos);;
;čokoladno mleko (NV 4dcl, N 2dcl);čokoladno mleko (N 2dcl);čokoladno mleko (N 2dcl);;;
;voda (bidon);voda (bidon);voda (bidon);voda (bidon);;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;voda (bidon);voda (bidon);voda (bidon);voda (B7:E31bidon);;
;;;;;;
;;;;;;
;;;;;;
