;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
PONEDELJEK;;;;;;
8.2.2016;praznik;praznik;praznik;praznik;;
;;;;;;
;;;;;;
;;;;;;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;štručka s sezamom (velika, mala);štručka s sezamom (mala);;;;
TOREK;piščančja salama;piščančja salama;sadje;sadje;;
9.2.2016;;;(ananas, pomaranče, kivi);(ananas, pomaranče, kivi);;
;krof;krof;krof;krof;;
;voda (bidon);voda (bidon);voda (bidon);voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;koruzna blazinica (velika, mala);korzuna blazinica;koruzna blazinica;rezina eko koruznega kruha;;
SREDA;mocarela;mocarela;mocarela;solata s češnjevčkom in mocarelo;;
10.2.2016;češnjev paradižnik;češnjev paradižnik;češnjev paradižnik;;;
;suhi jabolčni krhlji;suhi jabolčni krhlji;suhi jabolčni krhlji;suhi jabolčni krhlji;;
;;;;;;
;sok;sok;sok;voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;temna makovka (velika, mala);bombeta s semeni;bombeta s semeni;;;
ČETRTEK;suha slama, kisle kumarice;topljen sir (2 kos), kisle kumarice;topljen sir (2 kos), kisle kumarice;jogurtov smuti z borovnicami, brusnicami in medom;;
11.2.2016;sadni jogurt;sadni jogurt;sadni jogurt;;;
;ovseni piškoti;ovseni piškoti;ovseni piškoti;ovseni piškoti;;
;sok;sok;sok;voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;dopoldan;dopoldan;dopoldan;dopoldan;;
PETEK;skutni burek, tekoči jogurt, sok;skutni burek, tekoči jogurt, sok;skutni burek, tekoči jogurt, sok;skutni burek, tekoči jogurt, sok;;
12.2.2016;popoldan;popoldan;popoldan;popoldan;;
za sodelujoče;pecivo, sok;pecivo, sok;pecivo, sok;pecivo, sok;;
na info dnevu;sadje na hodnikih;sadje na hodnikih;sadje na hodnikih;sadje na hodnikih;;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
SOBOTA;sirova štručka;štručka s semeni;štručka s semeni;štručka s semeni;;
13.2.2016;šunka, list solate;sir, list solate;sir, list solate;sir, list solate;;
za sodelujoče;žitna rezina, sok;žitna rezina, sok;žitna rezina, sok;žitna rezina, sok;;
na info dnevu;sadje na hodnikih;sadje na hodnikih;sadje na hodnikih;sadje na hodnikih;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
