;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
PONEDELJEK;temna makovka (velika, mala);bombeta s semeni;bombeta s semeni;žitna solata z bučkami in kalčki;;
18.1.2016;milanska salama, mlečni namaz;edamec, mlečni namaz, kalčki;edamec, mlečni namaz, kalčki;;;
;pečena paprika po izbiri;;;;;
;grški sadni jogurt;grški sadni jogurt;grški sadni jogurt;grški sadni jogurt;;
;sok;sok;sok;voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;pisan kruh (NV 3kos, N 2 kos);pisan kruh (2 kos);pisan kruh (2 kos);bananin mlečni napitek;;
TOREK;maslo, marmelada (NV 3kos, N 2kos);maslo, marmelada (2kos);maslo, marmelada (2kos);;;
19.1.2016;orehi;orehi;orehi;orehi;;
;eko mleko;eko mleko;eko mleko;;;
;;;;voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;temna sezamova štručka (velika, mala);temna sezamova štručka (mala);temna sezamova štručka (mala);;;
SREDA;dimljen sir;dimljen sir;dimljen sir;solata s tremi semeni              ;;
20.1.2016;list solate;list solate;list solate;          zelena košarica;;
;ježek;ježek;ježek;;;
;voda (bidon);voda (bidon);voda (bidon);voda (bidon);;
;;;;;;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;temna štručka (velika, mala);temna štručka (mala);;;;
ČETRTEK;piščančja hrenovka (NV par);piščančja hrenovka;sadna solata;sadna solata;;
21.1.2016;gorčica, ajvar po izbiri;gorčica, ajvar po izbiri;polnozrnata borovničeva palčka;polnozrnata borovničeva palčka;;
;;;;;;
;smuti (fructal);smuti (fructal);voda (bidon);voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;sirova štručka (velika, mala);sirova štručka (mala);prosena pogača z goznimi sadeži;solata z morskimi sadeži;;
PETEK;piščančja salama;piščančja salama;;rezina eko kruha;;
22.1.2016;;;;;;
;eko jogurt musli-sadje;eko jogurt musli-sadje;eko jogurt musli-sadje;eko jogurt musli-sadje;;
;sok;sok;sok;voda (bidon);;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
