;N KOSILO;VEGET. KOSILO ;;;;
;paradižnikova juha;paradižnikova juha;;;;
PONEDELJEK;goveji zrezek v omaki;dušene mešane bučke;;;;
4.1.2016;zdrobovi cmoki;slani sirovi štruklji;;;;
;zelena solata;zelena solata;;;;
;;;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;;;;;;
TOREK;pečenica;;;;;
5.1.2016;ajdova kaša;ajdova kaša;;;;
;kisla repa;kisla repa;;;;
;jabolčni zavitek;jabolčni zavitek;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;goveja juha;bistra zelenjavna juha;;;;
SREDA;špageti;špinačni tortelini;;;;
6.1.2016;bolonjska omaka;gorgonzolina omaka;;;;
;rdeča pesa;rdeča pesa;;;;
;vaniljev puding;vaniljev puding;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;bučna juha s kroglicami;bučna juha s kroglicami;;;;
ČETRTEK;pečeno piščančje bedro;sojini polpeti;;;;
7.1.2016;pražen krompir;pražen krompir;;;;
;dušeno rdeče zelje;dušeno rdeče zelje;;;;
;;;;;;
;;;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;jota s suhim mesom;jota;;;;
PETEK;črna bombetka;črna bombetka;;;;
8.1.2016;čokoladne palačinke;čokoladne palačinke;;;;
;klementine;klementine;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
