;N KOSILO;VEGET. KOSILO ;;;;
;špargljeva juha;špargljeva juha;;;;
PONEDELJEK;svinjska pečenka;pečen tofu;;;;
18.1.2016;krompirjevi štruklji s korenčkom;krompirjevi štruklji s korenčkom;;;;
;zelena solata;paradižnikova omaka;;;;
;;zelena solata;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;;;;;;
TOREK;blitva s krompirjem;blitva s krompirjem;;;;
19.1.2016;pečen lososov file; sir na žaru;;;;
;čokoladni puding;čokoaladni puding;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;goveja juha;zelenjavna juha;;;;
SREDA;bolonjska omaka;gorgonzolina omaka;;;;
20.1.2016;njoki;njoki;;;;
;;;;;;
;rdeč radič s koruzo;rdeč radič s koruzo;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;bučkina juha ;bučkina juha;;;;
ČETRTEK;govejii zrezek v gobovi omaki;sirovi polpeti;;;;
21.1.2016;sirovi polpeti;gobova omaka;;;;
;zelje s fižolom;zelje s fižolom;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;;;;;;
PETEK;pražen krompir;pražen krompir;;;;
22.1.2016;piščančje nabodalo;sojini polpeti;;;;
;pečena paprika;pečena paprika;;;;
;kremna rezina;kremna rezina;;;;
;voda ali sok;voda ali sok;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
