;N KOSILO;VEGET. KOSILO ;;;;
;;;;;;
PONEDELJEK;;;;;;
8.2.2016;praznik;praznik;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;;;;;;
TOREK;piščančje nabodalo;sir na žaru;;;;
9.2.2016;krompirjeva solata;krompirjeva solata;;;;
;;;;;;
;klementine;klementine;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;špinačna juha s kroglicami;špinačna juha s kroglicami;;;;
SREDA;metuljčkii;metuljčkii;;;;
10.2.2016;paradižnikova omaka;paradižnikova omaka;;;;
;parmezan;parmezan;;;;
;zelje v solati;zelje v solati;;;;
;ježek;ježek;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;bistra zelenjavna juha;bistra zelenjavna juha;;;;
ČETRTEK;svinjski paprikaš;;;;;
11.2.2016;tri žita;tri žita ;;;;
;;zeenjavna priloga;;;;
;zelena solata;zelena solata;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;;;;;;
PETEK;informativni dan;informativni dan;;;;
12.2.2016;ni kosila;ni kosila;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
