;N KOSILO;VEGET. KOSILO ;;;;
;polenta ;polenta z mlekom;;;;
PONEDELJEK;junečji golaž;skutin zavitek;;;;
11.1.2016;mešana solata;;;;;
;(paprika, paradižnik, kumare);;;;;
;skutin zavitek;mešana solata po izbiri;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;;;;;;
TOREK;pleskavica;ocvrt sir;;;;
12.1.2016;džuveč riž;džuveč riž;;;;
;;;;;;
;sladoled;sladoled;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;goveja juha;kremna zelenjavna juha;;;;
SREDA;piščančji paprikaš;dušene bukče s papriko;;;;
13.1.2016;krompirjevi ocvrtki;krompirjevi ocvrtki;;;;
;stročji fižol v solati;stročji fižol v solati;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;bistra zelenjavna juha;bistra zelenjavna juha;;;;
ČETRTEK;puranji zrezek v omaki;krompijreva musaka z blitvo;;;;
14.1.2016;tri žita;;;;;
;motovilec;motovilec;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;;;;;;
PETEK;ričet;ričet;;;;
15.1.2016;črn kruh po izbiri;črn kruh po izbiri;;;;
;prekmurska gibanica;prekmurska gibanica;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
