;N KOSILO;VEGET. KOSILO ;;;;
;kremna zelenjavna juha;kremna zelenjavna juha;;;;
PONEDELJEK;pečeno piščančje bedro v omaki;;;;;
7.3.2016;tri žita;cvetačni narastek;;;;
;dušena cvetača;;;;;
;zelena solata;zelena solata;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;;;;;;
TOREK;pleskavica;sir na žaru;;;;
8.3.2016;krompirjeva solata;krompirjeva solata;;;;
;ajvar po izbiri;ajvar po izbiri;;;;
;jabolčna pita;jabolčna pita;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;;;;;;
SREDA;krompirjeva musaka z mesom;krompirjeva musaka z blitvo;;;;
9.3.2016;rdeča pesa;rdeča pesa;;;;
;sladoled;sladoled;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;govejja juha;korenčkova juha;;;;
ČETRTEK;kuhana govedina;jajci na oko;;;;
10.3.2016;prie krompir;pire krompir;;;;
;šponača;špinača;;;;
;kremna rezina;kremna rezina;;;;
;;;;;;
;voda ali sok;voda ali sok;;;;
;N KOSILO;VEGET. KOSILO ;;;;
;;;;;;
PETEK;ričet;ričet;;;;
11.3.2016;kranjska klobasa;;;;;
;črna bombetka po izbiri;črna bombetka po izbiri;;;;
;prekmurska gibanica;prekmurska gibanica;;;;
;voda ali sok;voda ali sok;;;;
;;;;;;
;;;;;;
;;;;;;
