;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
PONEDELJEK;sezamova štručka (velika, mala);eko štručka s semeni;eko štručka s semeni;solata s češnjevčkom in mocarelo;;
11.1.2016;šunka, sir;topljen sirček (2kos);topljen sirček (2kos);mini eko štručka s semeni;;
;kisle kumarice po izbiri;kisle kumarice po izbiri;kisle kumarice po izbiri;;;
;polnozrnate napolitanke;polnozrnate napolitanke;polnozrnate napolitanke;polnozrnate napolitanke;;
;sok;sok;sok;voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;musli (NV 2kos, N 1kos);musli 1kos;musli 1kos;smuti ;;
TOREK;mleko NV 4dcl, N 2 dcl;mleko 2 dcl;mleko 2 dcl;(z agrumov, kosmičev in madljev);;
12.1.2016;pirin polnozrnati biskvit z jabolki;pirin polnozrnati biskvit z jabolki;pirin polnozrnati biskvit z jabolki;pirin polnozrnati biskvit z jabolki;;
;;;;;;
;;;;;;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;lama (velika, mala);koruzna štručka;bombeta s semeni;;;
SREDA;kraški pršut, sir;prekajen losos;liptaver namaz;zelena solata z prekajenim lososom;;
13.1.2016;rukola;rukola;;;;
;rezina z oreščki;rezina z oreščki;rezina z oreščki;rezina z oreščki;;
;sok;sok;sok;voda (bidon);;
;;;;;;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;NV, N polnozrnati mafin;polnozrnati mafin;polnozrnati mafin;;;
ČETRTEK;NV, N probiotični sadni jogurt ;probiotični sadni jogurt ;probiotični sadni jogurt ;sadje;;
14.1.2016;NV (sendvič);;;(ananas, kivi, pomaranče);;
;;;;mandlji;;
;sok;sok;sok;voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;temna blazinica (velika, mala);temna blazinica (mala);bombeta s sezamom;zelena solata s pečenim piščancem;;
PETEK;piščančji zrezek po dunajsko;piščančji zrezek po dunajsko;sir po dunajsko;ajdov kruh z orehi;;
15.1.2016;solata po izbiri;solata po izbiri;solata po izbiri;;;
;smuti (Fructal);smuti (Fructal);smuti (Fructal);smuti (Fructal);;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
